sexo;IdadeAtual;Servidor;AnoAposenta;tempo
M;67;TA;2.022,00;37
M;70;TA;2.022,00;53
M;66;TA;2.023,00;45
M;67;TA;2.023,00;48
M;55;TA;2.023,00;36
F;57;TA;2.021,00;32
M;61;TA;2.022,00;41
M;61;TA;2.021,00;36
M;65;TA;2.021,00;36
M;60;D;2.022,00;36
M;67;TA;2.024,00;37
M;65;TA;2.024,00;39
F;62;TA;2.022,00;34
M;75;EBTT;2.023,00;48
M;74;D;2.020,00;51
F;63;D;2.024,00;26
F;58;TA;2.023,00;37
F;57;D;2.023,00;33
F;55;EBTT;2.023,00;26
F;63;D;2.024,00;40
F;70;TA;2.022,00;41
F;67;D;2.023,00;36
F;63;EBTT;2.022,00;30
M;68;D;2.022,00;41
M;73;D;2.023,00;48
M;68;TA;2.022,00;42
M;66;TA;2.022,00;45
M;72;TA;2.021,00;49
M;58;TA;2.022,00;39
M;66;TA;2.024,00;35
M;65;TA;2.020,00;35
M;65;TA;2.020,00;34
M;62;TA;2.020,00;35
M;68;TA;2.022,00;47
M;67;TA;2.022,00;46
M;62;TA;2.022,00;43
M;63;TA;2.022,00;28
M;63;TA;2.020,00;35
M;72;TA;2.023,00;44
M;67;D;2.021,00;46
M;63;TA;2.020,00;45
M;63;EBTT;2.020,00;37
F;59;TA;2.021,00;41
M;62;TA;2.022,00;38
M;74;D;2.020,00;51
M;60;TA;2.023,00;40
M;60;EBTT;2.020,00;35
M;59;TA;2.024,00;40
M;71;TA;2.020,00;45
M;71;D;2.022,00;44
M;64;TA;2.021,00;36
M;66;TA;2.023,00;46
M;65;TA;2.023,00;46
F;65;TA;2.023,00;43
F;66;TA;2.022,00;35
M;66;TA;2.022,00;46
M;61;TA;2.021,00;38
M;66;EBTT;2.023,00;38
F;65;TA;2.023,00;44
M;74;TA;2.021,00;52
M;71;TA;2.022,00;50
M;64;D;2.022,00;38
M;60;TA;2.021,00;42
M;68;TA;2.022,00;43
M;63;D;2.023,00;35
M;66;TA;2.023,00;44
M;64;TA;2.023,00;38
F;72;TA;2.020,00;44
M;60;D;2.022,00;35
F;69;TA;2.021,00;41
M;62;TA;2.021,00;42
M;62;D;2.020,00;38
M;67;TA;2.022,00;50
M;68;TA;2.022,00;50
M;65;TA;2.023,00;45
M;54;TA;2.022,00;34
M;66;TA;2.022,00;44
F;61;EBTT;2.021,00;34
M;73;TA;2.020,00;45
M;60;D;2.023,00;37
F;58;TA;2.022,00;31
M;65;TA;2.022,00;44
M;72;D;2.023,00;47
M;75;TA;2.021,00;51
F;67;TA;2.023,00;35
F;65;TA;2.022,00;30
M;61;EBTT;2.022,00;36
M;60;TA;2.021,00;36
M;69;TA;2.022,00;47
M;75;D;2.023,00;43
M;63;TA;2.023,00;47
M;67;TA;2.021,00;41
M;69;TA;2.022,00;47
M;71;D;2.021,00;46
M;58;TA;2.024,00;34
M;66;TA;2.023,00;45
F;57;TA;2.021,00;31
M;64;D;2.022,00;36
F;64;TA;2.022,00;41
F;66;D;2.020,00;30
F;61;TA;2.022,00;42
M;66;TA;2.022,00;45
M;63;D;2.023,00;31
M;61;D;2.020,00;42
M;62;D;2.020,00;40
M;61;TA;2.022,00;38
M;64;TA;2.022,00;35
M;66;TA;2.022,00;44
M;65;TA;2.023,00;44
M;64;TA;2.022,00;46
F;56;TA;2.022,00;34
M;61;TA;2.022,00;39
M;64;TA;2.021,00;42
M;63;TA;2.022,00;42
M;68;TA;2.022,00;47
M;60;TA;2.023,00;39
M;68;TA;2.022,00;43
M;61;TA;2.020,00;35
M;71;TA;2.021,00;44
M;66;TA;2.022,00;40
M;66;TA;2.023,00;31
M;61;TA;2.022,00;42
M;64;TA;2.020,00;35
M;60;TA;2.023,00;39
M;72;D;2.021,00;47
M;67;TA;2.020,00;43
M;62;TA;2.024,00;38
M;68;TA;2.021,00;40
M;63;TA;2.021,00;38
M;71;D;2.020,00;48
M;57;D;2.021,00;32
M;56;TA;2.022,00;37
M;60;TA;2.024,00;38
M;60;TA;2.022,00;39
M;59;TA;2.023,00;37
M;66;D;2.023,00;35
M;61;D;2.022,00;42
M;66;D;2.022,00;37
F;60;D;2.020,00;36
M;68;TA;2.020,00;45
F;67;TA;2.022,00;36
F;62;D;2.021,00;33
F;58;TA;2.020,00;30
M;67;TA;2.023,00;48
M;61;TA;2.024,00;38
M;69;TA;2.024,00;47
M;56;TA;2.021,00;37
M;62;TA;2.023,00;39
M;61;TA;2.022,00;43
M;64;TA;2.020,00;42
M;60;TA;2.023,00;36
M;60;TA;2.022,00;36
M;67;TA;2.022,00;46
M;68;TA;2.024,00;47
M;65;TA;2.021,00;41
M;55;TA;2.022,00;38
M;56;TA;2.023,00;35
M;69;D;2.024,00;47
M;59;TA;2.022,00;38
M;66;TA;2.023,00;47
M;66;TA;2.023,00;43
M;61;TA;2.022,00;37
M;74;TA;2.022,00;39
M;64;TA;2.020,00;41
